"p0","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12"
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
 1.50910626070359541e+02, 2.31625973357670403e-04, 7.15814299201376764e-02, 3.80556516878839825e-05, 5.36705634051699090e-02, 8.78832538227011378e-02, 8.05659787829452086e-03, 4.97325357198400396e-03, 3.20154619796236134e-02, 1.95770410454704202e+00,-9.57737013671807080e-01,-1.92342587700363765e+00, 9.25460883777495802e-01
